,Unnamed: 0,power,base,Should Run,QPDS
0,0,2,2,False,0.0
0,0,2,3,True,91.06609893464012
0,0,2,4,False,0.0
0,0,2,5,True,96.37459666763245
0,0,2,6,True,95.80550083500444
0,0,2,7,True,94.01130135685123
0,0,2,8,True,84.83657760238937
0,0,2,9,False,0.0
0,0,2,10,False,0.0
0,0,2,11,False,0.0
0,0,3,2,False,0.0
0,0,3,3,False,0.0
0,0,3,4,True,99.1552019735995
0,0,3,5,True,99.646466609238
0,0,3,6,True,85.99636821807646
0,0,3,7,True,86.9040473857188
0,0,3,8,False,0.0
0,0,3,9,True,94.83384841029655
0,0,3,10,True,96.18399343665344
0,0,3,11,True,95.63526074234665
